icrf_name,ra_deg,dec_deg,dra_mas,ddec_mas,offset_mas,pa_deg,sig_a_mas,sig_d_mas,rho_icrf3,rho_gaia,x_mahalanobis,x_naive,jet_pa_deg,delpa_deg,axis_angle_deg,downstream_angle_deg
ICRF J011050.0-074141,17.70842080,-7.69475392,-0.3639,-0.0452,0.3667,262.92,0.2346,0.2356,0.031,0.412,1.575,1.563,,,,
ICRF J011104.7-142232,17.76967527,-14.37580583,7.9547,-13.4356,15.6139,149.37,5.1254,6.8365,-0.342,0.527,2.422,2.504,,,,
ICRF J011156.8-131701,17.98690809,-13.28366577,-1.0384,-1.2531,1.6274,219.65,0.5536,0.5811,-0.206,0.633,2.299,2.858,,,,
ICRF J011205.8+224438,18.02426965,22.74410732,-0.0012,-0.0743,0.0743,180.93,0.0417,0.0453,-0.070,0.281,1.640,1.640,89.0,16.0,88.07,91.93
ICRF J011210.1+202021,18.04246166,20.33937880,0.3882,0.1792,0.4275,65.22,0.1165,0.1567,-0.012,0.158,3.491,3.522,,,,
ICRF J011212.9+352219,18.05393502,35.37203789,-0.6752,0.0489,0.6769,274.14,0.1785,0.1694,0.015,-0.056,3.785,3.793,206.0,5.0,68.14,68.14
ICRF J011217.0+025738,18.07102166,2.96056045,-1.3472,3.6760,3.9151,339.87,0.9095,1.6663,-0.615,0.498,2.344,2.657,,,,
ICRF J011218.9-663445,18.07880382,-66.57921887,-0.1617,-0.1692,0.2340,223.71,0.1680,0.2608,0.447,0.036,1.004,1.161,,,,
ICRF J011250.3+320817,18.20972104,32.13817571,-0.6938,0.2011,0.7223,286.16,0.1352,0.1562,0.035,0.373,5.615,5.289,299.0,16.0,12.84,12.84
ICRF J011315.8-355148,18.31606819,-35.86343525,0.0776,0.1650,0.1824,25.19,0.1481,0.2282,-0.106,-0.047,0.931,0.893,,,,
ICRF J011327.0+494824,18.36252835,49.80667867,-0.2414,0.4067,0.4729,329.31,0.0631,0.0919,-0.152,-0.039,5.666,5.851,,,,
ICRF J011343.1+022217,18.42977062,2.37147674,1.7245,-2.5682,3.0934,146.12,0.2185,0.1528,-0.252,0.455,23.456,18.570,123.0,16.0,23.12,23.12
ICRF J011354.5+132452,18.47712635,13.41457741,0.3390,-0.2283,0.4087,123.96,0.2461,0.3132,-0.141,0.227,1.561,1.559,,,,
ICRF J011452.7+132537,18.71990362,13.42709175,-0.1389,-0.2810,0.3135,206.30,0.9366,0.4649,0.052,0.215,0.616,0.622,,,,
ICRF J011457.3-241944,18.73886031,-24.32907704,0.3900,0.1779,0.4286,65.48,0.1457,0.2702,-0.112,0.236,2.805,2.757,,,,
