ra,dec,alpha_raw,e_alpha,ref_alpha,ref_e,ref_scode,ref_sep,flagged_uss
180.95842,29.57258,-0.569,0.056,-0.619,0.062,S,1.5,0
180.97473,30.20778,-0.649,0.049,-0.602,0.035,S,2.4,0
181.00969,30.53940,-0.761,0.057,-0.700,0.088,S,2.4,0
181.02313,31.37918,-0.463,0.074,-0.475,0.120,S,2.7,0
181.03436,30.26336,-1.343,0.061,-1.156,0.071,S,2.5,1
181.03532,27.95232,-0.618,0.049,-0.598,0.036,S,0.9,0
181.04597,30.81885,-0.643,0.048,-0.619,0.018,S,2.5,0
181.04970,29.38532,-1.648,0.088,-1.516,0.118,S,1.9,1
181.05164,31.74151,-0.597,0.061,-0.534,0.099,S,1.2,0
181.10757,29.75623,-0.763,0.049,-0.751,0.025,S,1.1,0
181.12253,32.42268,-0.667,0.047,-0.672,0.008,S,1.2,0
181.13039,27.43924,-0.312,0.071,-0.293,0.123,S,3.0,0
181.15634,28.85706,-1.231,0.070,-1.228,0.110,S,1.6,0
181.16380,32.06445,-0.739,0.057,-0.761,0.050,S,2.2,0
181.18063,31.17703,-0.545,0.069,-0.481,0.123,C,3.3,0
181.20354,28.00702,-0.670,0.056,-0.613,0.074,S,0.7,0
181.21820,29.48816,-0.876,0.047,-0.859,0.002,M,7.8,0
181.22057,29.51197,-0.871,0.047,-0.865,0.002,M,7.2,0
181.22449,32.76610,-0.859,0.051,-0.768,0.055,S,0.4,0
181.23152,31.27814,-0.928,0.066,-0.846,0.120,S,1.7,0
181.24066,28.25576,-0.409,0.063,-0.385,0.090,S,4.4,0
181.24168,28.17277,-0.620,0.046,-0.630,0.007,S,0.1,0
181.27052,30.68495,-0.031,0.048,-0.045,0.028,S,2.2,0
181.28090,28.39428,-0.661,0.047,-0.675,0.006,M,0.2,0
181.30876,29.72808,-0.692,0.058,-0.590,0.087,S,1.4,0
181.31262,28.42229,-0.596,0.054,-0.636,0.047,M,0.4,0
181.31291,32.06625,-0.513,0.050,-0.492,0.029,C,1.5,0
181.31445,32.08226,-0.727,0.049,-0.744,0.014,C,4.5,0
181.33202,27.27160,-0.730,0.049,,,,,0
181.33577,28.14345,-0.604,0.050,-0.618,0.027,S,1.4,0
181.34354,28.09267,-0.682,0.048,-0.671,0.029,S,0.9,0
181.36591,29.52451,-0.879,0.051,-0.863,0.044,S,1.2,0
181.36835,28.70467,-0.781,0.066,-0.715,0.115,S,1.1,0
181.36845,28.78293,-0.469,0.107,-0.363,0.000,L,0.9,0
181.36864,28.55105,-0.854,0.057,-0.836,0.069,S,0.7,0
181.37354,30.34732,-0.619,0.048,-0.681,0.016,C,0.1,0
181.37422,32.12532,-0.779,0.070,-0.748,0.132,S,3.1,0
181.37592,31.86195,-0.848,0.047,-0.875,0.009,S,0.9,0
181.39426,29.30347,-0.685,0.048,-0.668,0.018,M,1.4,0
181.41054,30.95005,-0.378,0.082,-0.119,0.000,L,4.6,0
181.41718,28.33207,-0.782,0.051,-0.756,0.044,S,1.3,0
181.42055,29.31775,-0.643,0.050,-0.642,0.025,M,0.1,0
181.42204,31.02895,-0.939,0.056,-0.940,0.037,S,2.6,0
181.51039,31.20322,-0.371,0.074,-0.239,0.200,S,7.0,0
181.51407,30.39234,-0.708,0.065,-0.628,0.114,S,2.5,0
181.51431,31.47505,-0.558,0.079,-0.442,0.184,S,7.7,0
181.55566,28.63391,-0.558,0.068,-0.490,0.119,S,4.3,0
181.58005,31.72642,-0.837,0.049,-0.828,0.028,S,1.5,0
181.58092,28.38192,0.042,0.098,0.192,0.000,L,2.6,0
181.58447,32.26971,-1.041,0.062,-0.962,0.060,S,3.4,0
181.59502,32.39760,-0.782,0.066,-0.751,0.092,S,1.5,0
181.60651,31.99013,-0.817,0.058,-0.755,0.083,S,2.2,0
181.61433,30.24740,-0.865,0.049,-0.857,0.033,S,0.9,0
181.62280,30.61826,-0.413,0.084,-0.196,0.000,L,1.4,0
181.62529,31.75934,-0.754,0.049,-0.766,0.035,S,0.7,0
181.62796,28.75295,-0.634,0.053,-0.706,0.044,S,2.1,0
181.63493,32.53767,-0.547,0.072,-0.568,0.107,C,9.8,0
181.63628,30.68989,-0.700,0.048,-0.715,0.031,M,1.6,0
181.64661,29.96647,-1.034,0.060,-1.096,0.083,S,3.0,0
181.67580,29.08001,-0.784,0.048,-0.754,0.027,S,0.7,0
181.68690,31.86772,-0.696,0.048,-0.663,0.018,M,6.5,0
181.70003,27.98206,-0.756,0.109,-0.635,0.000,L,2.2,0
181.70032,31.61381,-1.214,0.051,-1.197,0.024,S,0.1,0
181.70885,27.49526,-0.797,0.048,-0.800,0.014,S,2.7,0
181.71039,31.75346,-0.845,0.049,-0.791,0.035,S,0.9,0
181.71066,31.88235,-0.722,0.048,-0.554,0.016,M,4.4,0
181.72545,29.12797,-0.743,0.053,-0.736,0.049,S,2.0,0
181.72821,31.08921,-0.683,0.067,-0.631,0.128,S,2.3,0
181.73557,28.44308,-0.949,0.051,-0.937,0.034,S,0.9,0
181.74867,28.36012,-0.264,0.058,-0.169,0.088,S,0.2,0
181.75928,28.10118,-0.644,0.049,-0.583,0.033,S,1.0,0
181.77817,31.97085,-1.107,0.049,-1.121,0.036,S,0.7,0
181.78346,31.70900,-0.864,0.066,-0.806,0.075,I,2.1,0
181.79208,28.17878,-0.960,0.060,-0.899,0.084,S,2.3,0
181.80775,30.72248,-0.558,0.064,-0.662,0.070,S,4.5,0
181.80914,31.31779,-0.675,0.049,-0.667,0.037,S,3.2,0
181.82957,29.13376,-0.848,0.064,-0.843,0.090,S,0.6,0
181.84663,27.53744,-0.638,0.076,-0.596,0.143,S,2.4,0
181.85867,29.88713,-0.623,0.052,-0.716,0.035,S,11.3,0
181.86644,27.91640,0.071,0.047,0.085,0.013,C,1.5,0
181.87193,31.46774,-0.670,0.057,-0.820,0.038,S,9.8,0
181.87862,31.61593,-0.431,0.123,-0.390,0.000,L,3.9,0
181.88318,29.55102,-0.853,0.064,-0.928,0.075,S,3.7,0
181.90182,31.86576,-1.240,0.101,-1.235,0.179,S,4.2,0
181.90417,28.54729,-0.679,0.085,-0.726,0.124,S,7.2,0
181.91544,28.82037,-0.810,0.079,-0.767,0.137,S,2.3,0
181.94350,32.00003,-0.360,0.104,-0.245,0.000,L,2.5,0
